label;mean_1;std_1;min_1;max_1;med_1;kur_1;ske_1;perc25_1;perc75_1;mean_2;std_2;min_2;max_2;med_2;kur_2;ske_2;perc25_2;perc75_2;mean_3;std_3;min_3;max_3;med_3;kur_3;ske_3;perc25_3;perc75_3;mean_4;std_4;min_4;max_4;med_4;kur_4;ske_4;perc25_4;perc75_4;mean_5;std_5;min_5;max_5;med_5;kur_5;ske_5;perc25_5;perc75_5;mean_6;std_6;min_6;max_6;med_6;kur_6;ske_6;perc25_6;perc75_6;mean_7;std_7;min_7;max_7;med_7;kur_7;ske_7;perc25_7;perc75_7;mean_8;std_8;min_8;max_8;med_8;kur_8;ske_8;perc25_8;perc75_8;mean_9;std_9;min_9;max_9;med_9;kur_9;ske_9;perc25_9;perc75_9;mean_10;std_10;min_10;max_10;med_10;kur_10;ske_10;perc25_10;perc75_10;mean_11;std_11;min_11;max_11;med_11;kur_11;ske_11;perc25_11;perc75_11;mean_12;std_12;min_12;max_12;med_12;kur_12;ske_12;perc25_12;perc75_12;mean_13;std_13;min_13;max_13;med_13;kur_13;ske_13;perc25_13;perc75_13
0.0;-0.78801;0.14251;-0.55169;-0.16529;2.27672;14.51013;8.63191;0.93450;0.11474;-0.31766;-1.83553;0.68953;-0.43911;0.07090;0.11471;0.06953;0.06410;0.90207;5.47981;1.92732;0.18797;0.14396;0.13188;25.04627;30.95340;48.16957;-0.90594;-0.22552;-0.79169;-0.42908;0.46554;0.02327;1.27526;0.13525;-0.94482;-0.70801;-213.56250;-208.62500;-380.06250;-0.36078;0.49310;-0.30414;-0.00073;6.24378;17.98974;14.54079;2.62939;1.04346;0.42139;157.37500;112.25000;180.18750;-0.79974;0.14099;-0.53455;-0.18311;2.18105;16.87893;8.71310;0.91309;0.10889;-0.34424;-0.81250;0.31250;0.25000;12.81582;0.96154;2.23294;0.25333;4.07412;2.04390;3.62099;33.18542;7.92175;2.04290;12.09602;12.21352;20.48390;2.90855;-0.08232;-0.48580;0.03158;1.28903;-1.92713;-0.70553;4.12190;-0.11179;1.23115;-0.27858;-1.16733;-2.36470;-0.82800;0.06061;-0.57990;-0.20911;1.89559;15.34607;7.46221;0.87402;0.04639;-0.39502;-9.75000;-5.75000;-9.06250;-0.76953;0.23248;-0.51379;-0.12811;2.67445;17.53729;9.28345;0.95801;0.19287;-0.27197;5.31250;7.56250;10.37500
0.0;0.40604;-0.54315;-0.58082;-0.33493;14.97098;12.03077;9.61049;-0.92682;0.29995;-0.03360;-2.46908;4.01042;2.95271;0.13421;0.08358;0.11854;0.22716;2.62059;2.86485;7.34568;0.42266;0.25180;0.18834;57.14586;35.53789;123.53410;-0.02765;-0.73492;-0.83093;-0.77509;6.61640;1.02811;0.00568;-2.76025;-0.36621;-1.50000;-394.25000;-124.62500;-376.43750;0.57050;-0.36066;-0.19684;0.28827;17.77022;16.15582;17.99618;0.31934;1.55273;0.67773;177.50000;112.12500;459.18750;0.45688;-0.51340;-0.58386;-0.40244;15.99661;12.72758;9.70642;-0.96411;0.21069;0.02124;1.03125;1.81250;0.25000;2.14580;-0.46074;2.07110;0.28181;1.36317;1.60444;-1.78533;4.08295;1.67982;13.86951;11.80969;2.46855;2.36475;-1.73771;-0.44441;0.80715;0.71184;-1.44268;-1.53985;-0.11259;-0.48241;0.95525;-2.36001;-2.14266;-0.23733;0.18217;0.38942;-0.61322;-0.64236;-0.46335;14.35541;12.02310;1.47212;-1.04541;0.14453;-0.11060;-18.06250;-7.34375;-43.93750;0.47841;-0.49432;-0.55318;-0.23808;16.91528;13.57546;17.24774;-0.81287;0.41614;0.06567;22.54688;17.40625;50.04688
0.0;-0.77540;0.09907;-0.55623;-0.14726;2.33274;12.83429;8.40941;0.93107;0.12961;-0.29240;-7.62647;2.28156;-2.35948;0.09255;0.15939;0.10259;0.11600;1.32844;6.50238;2.49560;0.26220;0.18989;0.17843;46.67906;37.17718;55.92105;-0.92285;-0.44330;-0.75562;-0.41150;0.22140;0.00372;0.73033;0.16602;-0.67773;-0.71289;-225.75000;-137.43750;-331.81250;-0.40723;0.52448;-0.28961;0.15997;6.13511;17.99735;17.89639;2.26611;0.66211;0.28760;234.81250;134.00000;158.12500;-0.79959;0.09348;-0.56589;-0.14404;2.24374;16.03935;8.89420;0.89136;0.11768;-0.30176;-7.50000;-1.37500;-3.43750;4.06689;2.88221;-0.14479;-0.43335;-0.11865;-0.49708;2.94307;5.82377;0.16480;-0.49150;6.17927;2.42921;10.42652;1.81322;-0.44428;0.52456;0.15863;0.74723;-1.14152;-1.13748;1.77405;0.14906;0.30722;-0.56123;0.28750;-1.68849;-0.83368;0.03239;-0.63280;-0.23972;1.22536;7.80626;8.10849;0.76990;-0.00671;-0.42542;-23.21875;-16.39062;-18.78125;-0.73849;0.16066;-0.52176;-0.05878;2.74519;17.22709;9.44088;0.99890;0.23657;-0.16248;9.96875;16.53125;14.51562
0.0;0.43115;-0.50738;-0.60309;-0.36767;15.56398;11.87385;11.54768;-0.92770;0.28420;0.05133;1.62952;2.60732;-0.32537;0.11360;0.09223;0.10780;0.15753;1.93136;2.48580;7.56608;0.36224;0.23864;0.10096;37.97007;31.66890;100.08398;0.06866;-0.75604;-0.74402;-0.78522;9.23385;1.17065;0.00199;-2.86670;-0.24658;-0.46924;-257.25000;-76.50000;-312.37500;0.61829;-0.32428;-0.21454;0.04492;17.47776;17.38993;17.99857;-0.14014;0.95947;0.57373;251.18750;171.62500;437.31250;0.47501;-0.48117;-0.61163;-0.39355;16.45576;12.55038;17.28692;-0.95898;0.17188;0.05688;-1.21875;0.75000;0.75000;1.97298;0.42995;4.04654;1.15966;1.51603;3.39950;-1.42110;7.92157;0.08312;4.49873;16.03295;4.66491;3.93374;-1.51519;-0.88932;1.86686;-0.14534;-1.45200;-2.06584;-0.62454;-1.68785;0.89288;-0.04878;0.68012;1.36609;0.33871;0.39326;-0.53641;-0.66132;-0.41869;14.60710;12.31309;0.73878;-0.98401;0.14832;0.01050;-10.00000;-9.01562;-15.32812;0.49319;-0.46104;-0.59476;-0.28056;16.98946;12.94667;17.69433;-0.79114;0.46021;0.08008;10.10938;5.67188;30.10938
0.0;-0.78645;0.09851;-0.54632;-0.15911;2.58624;12.93521;8.43128;0.91531;0.15113;-0.29942;-2.33438;1.14873;-3.61440;0.09171;0.11823;0.11487;0.11188;1.39903;6.15246;2.54315;0.26651;0.22141;0.19109;30.36883;38.70773;59.19098;-0.89496;-0.24567;-0.80908;-0.45648;0.02513;0.00771;0.22763;0.02881;-0.39355;-0.77100;-93.62500;-191.31250;-396.56250;-0.35187;0.50128;-0.16907;0.11792;7.94803;17.99995;17.88457;2.58105;1.36133;0.76416;265.87500;142.75000;213.75000;-0.81561;0.08755;-0.56393;-0.14307;2.14512;15.86925;9.07785;0.90918;0.09839;-0.34204;-2.81250;-0.84375;-2.62500;5.55573;2.17355;-0.04984;-0.66259;-0.03351;-0.24170;2.66563;9.32147;1.31822;2.75332;17.83174;7.30104;15.69845;2.07783;0.34703;0.13214;-0.06956;0.78398;-1.20973;-1.28040;1.81713;0.66579;1.29411;2.65726;0.02037;-2.19865;-0.83340;0.03142;-0.60985;-0.27876;1.69083;9.31475;8.00864;0.78369;0.00623;-0.42664;-13.98438;-9.65625;-13.35938;-0.77419;0.16196;-0.47852;-0.07770;3.83243;17.08953;9.68814;0.96814;0.29297;-0.22412;4.85938;6.84375;8.06250
0.0;-0.77309;0.15551;-0.55287;-0.16071;2.38453;12.40179;7.62051;0.93980;0.09987;-0.30215;-4.05052;2.71517;-0.33647;0.09441;0.13864;0.10651;0.08519;1.39083;6.69035;2.36295;0.26168;0.21747;0.18374;53.11923;39.52773;68.01054;-0.93335;-0.33630;-0.75769;-0.39020;0.12388;0.01367;1.23502;0.33057;-0.79980;-1.22998;-168.00000;-190.31250;-369.06250;-0.40253;0.52692;-0.21179;0.02991;7.03306;17.98161;12.26534;2.74072;1.49316;0.43506;505.25000;138.12500;177.56250;-0.79517;0.16483;-0.55713;-0.13840;2.15025;16.19664;8.10387;0.91528;0.07129;-0.33057;-6.96875;-0.62500;-3.87500;3.41138;3.85290;0.41936;-0.21935;0.76949;-1.14643;0.81486;17.17884;6.00504;1.08218;35.66105;4.00884;8.14476;1.53934;-0.88729;0.58440;-0.46594;1.02058;-0.83529;-0.94520;3.19016;1.09710;0.23939;4.35658;-0.04456;-1.46188;-0.83168;0.10483;-0.62068;-0.22656;1.40655;4.74958;6.46877;0.81836;-0.01306;-0.42480;-22.65625;-17.17188;-18.75000;-0.72655;0.20242;-0.51007;-0.10536;2.84252;17.51210;9.19824;1.01367;0.21021;-0.17444;4.54688;20.90625;23.15625
0.0;-0.28872;0.52993;0.43337;0.26024;14.24770;10.71818;7.55502;-0.75221;0.32111;-0.08312;0.23980;2.21329;1.23689;0.36480;0.15751;0.34737;0.31886;2.40478;5.32115;6.25610;0.40364;0.38706;0.37397;82.67050;53.94667;70.07165;-0.74994;-0.14709;-0.50018;-0.86536;5.71954;0.00832;0.00085;-3.50537;-1.45996;-1.31104;-457.00000;-380.31250;-339.68750;0.59589;0.82025;0.94891;0.82434;17.88185;17.93911;17.99996;2.34180;2.03223;1.83203;508.31250;335.56250;349.18750;-0.36169;0.53549;0.54727;0.32251;14.33730;12.70730;5.73816;-0.78735;0.28125;-0.08154;-0.12500;0.43750;0.81250;-0.33365;3.63885;0.09612;1.40944;1.10826;-0.24344;-1.33361;11.08238;0.75974;0.66333;4.98902;7.49894;4.46527;0.77981;-1.30593;-0.93636;-1.11419;-1.04490;-1.15553;0.43757;0.96726;0.46294;0.52197;-0.05630;0.91790;-0.02661;-0.53189;0.47540;0.29413;0.10304;13.08201;11.03571;1.60639;-0.94861;0.03955;-0.36804;-28.92188;-16.87500;-23.28125;-0.09041;0.61917;0.70659;0.45682;16.18119;14.12502;13.89396;-0.64868;0.57983;0.14392;24.42188;15.62500;28.29688
0.0;-0.39845;0.53082;0.59442;0.35666;15.16979;11.96423;11.40408;-0.93647;0.31173;0.02779;1.68781;1.99340;0.32477;0.12527;0.09458;0.12232;0.19813;2.33738;2.37315;7.04535;0.41923;0.26531;0.16852;49.38932;37.95047;118.24526;-0.55914;0.33289;0.14282;-0.15057;7.60835;0.62417;0.00079;-3.14355;-0.64014;-0.62891;-457.50000;-82.00000;-333.31250;0.03491;0.75531;0.79425;0.81921;17.84330;16.72226;17.96947;0.05664;1.15186;0.56250;113.75000;175.31250;472.93750;-0.43317;0.51740;0.60553;0.40668;16.04618;12.17252;16.22295;-0.94678;0.21240;0.07861;0.93750;-0.18750;4.81250;3.20720;-0.45087;3.77956;0.32566;1.76353;3.27318;-1.43285;8.89226;1.09952;1.28933;20.46755;4.04387;3.54505;2.00424;0.28237;-1.64594;-0.44675;-1.55957;-1.69865;-0.63765;-1.98786;0.70086;-0.59087;-2.82694;1.52584;0.30237;-0.46591;0.46942;0.55582;0.27057;14.12007;11.58235;2.04686;-0.99219;0.15186;-0.06104;-14.43750;-9.25000;-19.31250;-0.40009;0.59659;0.66208;0.47546;16.82428;13.52403;16.97573;-0.82251;0.46777;0.11328;20.12500;6.06250;29.71875
0.0;0.41553;-0.54698;-0.51875;-0.46814;16.24683;11.79561;13.94305;-0.96208;0.20929;-0.00317;3.94551;-2.24896;2.32190;0.08248;0.06673;0.12100;0.11855;1.27122;2.91033;5.87209;0.29789;0.22572;0.09515;42.81659;28.78456;90.37962;0.01520;-0.81128;-0.67975;-0.78619;11.73487;0.77656;0.01140;-2.75098;-0.71143;-0.59717;-246.62500;-77.18750;-251.00000;0.50848;-0.42719;-0.13129;-0.22247;17.81479;16.83926;17.99907;-0.22949;1.17480;0.36182;240.00000;166.00000;464.00000;0.45154;-0.52252;-0.54932;-0.46649;16.86508;12.83902;17.14742;-0.96729;0.13330;0.03174;-0.56250;-1.06250;2.31250;4.86691;2.53902;2.60838;1.03478;0.57315;1.59082;0.43913;15.07681;2.46978;8.35645;10.61174;10.09334;7.48824;-2.19131;-1.56798;1.82751;-0.88410;-1.18876;-1.74761;-1.39305;-2.95815;0.74797;-1.85921;-0.60765;2.27383;1.19900;0.39523;-0.56393;-0.58917;-0.48007;15.36489;12.50136;8.77390;-0.98242;0.11230;-0.03711;-6.68750;-10.90625;-9.00000;0.46356;-0.51373;-0.53247;-0.40317;17.21569;13.15635;17.50581;-0.86987;0.31616;0.04102;12.21875;1.25000;21.37500
0.0;0.41570;-0.52991;-0.58374;-0.39760;15.92208;12.12098;12.93574;-0.92238;0.24391;0.04771;-1.94883;1.11528;1.83370;0.11261;0.06614;0.08080;0.15505;2.07061;1.70694;6.38181;0.33141;0.27022;0.13976;44.13639;26.98810;76.14970;-0.09247;-0.74933;-0.81061;-0.79150;7.01675;4.42320;0.00243;-3.11523;-1.80615;-1.64990;-399.06250;-170.43750;-551.18750;0.58966;-0.39880;-0.12946;0.17975;17.90797;15.94548;17.99900;0.36523;1.37744;1.24902;225.62500;160.50000;432.18750;0.44989;-0.50562;-0.57739;-0.45459;16.95598;11.87202;16.22324;-0.96338;0.13818;0.08936;-0.93750;-0.18750;1.43750;6.17627;1.49985;8.73649;2.17701;4.30188;7.33761;-0.34191;13.55686;6.31192;29.45709;17.94723;10.89769;11.07775;-2.47918;-1.41542;1.39157;1.37580;-2.14571;-1.93514;-1.23371;-1.48462;0.59085;-2.80927;-1.70345;1.69694;0.10385;0.41711;-0.54675;-0.59952;-0.48730;15.39058;11.62695;10.47171;-0.97607;0.12061;0.03149;-7.34375;-3.56250;-4.50000;0.46906;-0.48923;-0.55176;-0.32281;17.03015;13.03861;16.69664;-0.90601;0.31323;0.10596;7.12500;2.31250;10.46875
